1.2350	-7.116100
1.2363	-7.123790
1.2376	-7.131310
1.2389	-7.138650
1.2402	-7.145830
1.2415	-7.152830
1.2428	-7.159670
1.2441	-7.166330
1.2454	-7.172830
1.2467	-7.179160
1.2480	-7.185330
1.2493	-7.191330
1.2506	-7.197160
1.2519	-7.202830
1.2532	-7.208340
1.2545	-7.213680
1.2558	-7.218860
1.2571	-7.223880
1.2584	-7.228740
1.2597	-7.233440
1.2610	-7.237990
1.2623	-7.242370
1.2636	-7.246600
1.2649	-7.250670
1.2662	-7.254580
1.2675	-7.258340
1.2688	-7.261940
1.2701	-7.265400
1.2714	-7.268690
1.2727	-7.271840
1.2740	-7.274840
1.2753	-7.277680
1.2766	-7.280380
1.2779	-7.282930
1.2792	-7.285330
1.2805	-7.287580
1.2818	-7.289690
1.2831	-7.291650
1.2844	-7.293460
1.2857	-7.295130
1.2870	-7.296660
1.2883	-7.298050
1.2896	-7.299290
1.2909	-7.300400
1.2922	-7.301360
1.2935	-7.302180
1.2948	-7.302870
1.2961	-7.303410
1.2974	-7.303820
1.2987	-7.304100
1.3000	-7.304230
1.3013	-7.304240
1.3026	-7.304130
1.3039	-7.303890
1.3052	-7.303520
1.3065	-7.303040
1.3078	-7.302440
1.3091	-7.301710
1.3104	-7.300870
1.3117	-7.299910
1.3130	-7.298830
1.3143	-7.297640
1.3156	-7.296330
1.3169	-7.294910
1.3182	-7.293370
1.3195	-7.291730
1.3208	-7.289970
1.3221	-7.288090
1.3234	-7.286110
1.3247	-7.284020
1.3260	-7.281820
1.3273	-7.279510
1.3286	-7.277100
1.3299	-7.274580
1.3312	-7.271960
1.3325	-7.269230
1.3338	-7.266390
1.3351	-7.263460
1.3364	-7.260420
1.3377	-7.257280
1.3390	-7.254040
1.3403	-7.250700
1.3416	-7.247270
1.3429	-7.243730
1.3442	-7.240100
1.3455	-7.236370
1.3468	-7.232550
1.3481	-7.228630
1.3494	-7.224620
1.3507	-7.220510
1.3520	-7.216310
1.3533	-7.212020
1.3546	-7.207640
1.3559	-7.203170
1.3572	-7.198600
1.3585	-7.193950
1.3598	-7.189220
1.3611	-7.184390
1.3624	-7.179480
1.3637	-7.174480
1.3650	-7.169400
