0.109198	0.000000	0.000000	
-0.109198	-0.000000	-0.000000	
0.109198	0.000000	-0.000000	
-0.109198	-0.000000	-0.000000	
0.109198	0.000000	0.000000	
-0.109198	-0.000000	0.000000	
0.109198	0.000000	0.000000	
-0.109198	-0.000000	0.000000	
-0.109198	-0.000000	-0.000000	
0.109198	0.000000	-0.000000	
0.109198	0.000000	0.000000	
-0.109198	-0.000000	0.000000	
6.427251	-0.014602	0.001068	
-6.123891	-0.004365	0.002752	
5.949703	0.013061	0.015404	
-6.314580	0.022695	-0.003295	
6.536083	0.018626	0.030542	
-6.295206	-0.013096	-0.010526	
6.364177	-0.020081	0.003653	
-6.019787	-0.016678	-0.030231	
-6.042208	0.016403	0.000622	
5.515312	0.041180	0.019479	
5.598369	-0.001980	-0.009920	
-5.595222	-0.041161	-0.019550	
5.581005	-0.031832	0.005013	
-4.954088	-0.005599	0.004124	
4.702196	0.034056	0.030270	
-5.371518	0.044938	-0.005503	
5.771467	0.034239	0.057622	
-5.312462	-0.020761	-0.022723	
5.484376	-0.039645	0.005982	
-4.839989	-0.043377	-0.065225	
-4.921852	0.033374	-0.002054	
3.837333	0.087660	0.043766	
4.012602	-0.007188	-0.014259	
-3.989068	-0.085864	-0.037013	
3.760451	-0.054498	0.015561	
-2.777206	0.000822	0.003140	
2.611045	0.066990	0.043005	
-3.483744	0.064881	-0.005467	
3.981894	0.041715	0.074136	
-3.345653	-0.015577	-0.038222	
3.690356	-0.056671	0.005634	
-2.812429	-0.084488	-0.103798	
-3.022358	0.049214	-0.009694	
1.343959	0.139613	0.074686	
1.606957	-0.018132	-0.008765	
-1.553271	-0.133869	-0.050214	
1.252499	-0.079951	0.033011	
0.053233	0.016373	-0.002312	
-0.011859	0.108079	0.051271	
-0.935034	0.079343	-0.003178	
1.470701	0.038458	0.073651	
-0.705105	0.005028	-0.055020	
1.281987	-0.068044	0.002397	
-0.232690	-0.135489	-0.138334	
-0.639952	0.060438	-0.021356	
-1.566984	0.189224	0.108505	
-1.281693	-0.035594	0.008133	
1.314899	-0.177866	-0.056767	
-1.577551	-0.102162	0.054878	
3.017429	0.039252	-0.013745	
