0.000000	100.000000	0.000000	1.440000	-2.590977	-1.150977
1.000000	inf	-nan	1.440000	-2.590977	-nan
2.000000	inf	-nan	1.440000	-2.590977	-nan
3.000000	inf	-nan	1.440000	-2.590977	-nan
4.000000	inf	-nan	1.440000	-2.590977	-nan
5.000000	inf	-nan	1.440000	-2.590977	-nan
6.000000	inf	-nan	1.440000	-2.590977	-nan
7.000000	inf	-nan	1.440000	-2.590977	-nan
8.000000	inf	-nan	1.440000	-2.590977	-nan
9.000000	inf	-nan	1.440000	-2.590977	-nan
10.000000	inf	-nan	1.440000	-2.590977	-nan
11.000000	inf	-nan	1.440000	-2.590977	-nan
12.000000	inf	-nan	1.440000	-2.590977	-nan
13.000000	inf	-nan	1.440000	-2.590977	-nan
14.000000	inf	-nan	1.440000	-2.590977	-nan
15.000000	inf	-nan	1.440000	-2.590977	-nan
16.000000	inf	-nan	1.440000	-2.590977	-nan
17.000000	inf	-nan	1.440000	-2.590977	-nan
18.000000	inf	-nan	1.440000	-2.590977	-nan
19.000000	inf	-nan	1.440000	-2.590977	-nan
20.000000	inf	-nan	1.440000	-2.590977	-nan
21.000000	inf	-nan	1.440000	-2.590977	-nan
22.000000	inf	-nan	1.440000	-2.590977	-nan
23.000000	inf	-nan	1.440000	-2.590977	-nan
24.000000	inf	-nan	1.440000	-2.590977	-nan
25.000000	inf	-nan	1.440000	-2.590977	-nan
26.000000	inf	-nan	1.440000	-2.590977	-nan
27.000000	inf	-nan	1.440000	-2.590977	-nan
28.000000	inf	-nan	1.440000	-2.590977	-nan
29.000000	inf	-nan	1.440000	-2.590977	-nan
30.000000	inf	-nan	1.440000	-2.590977	-nan
31.000000	inf	-nan	1.440000	-2.590977	-nan
32.000000	inf	-nan	1.440000	-2.590977	-nan
33.000000	inf	-nan	1.440000	-2.590977	-nan
34.000000	inf	-nan	1.440000	-2.590977	-nan
35.000000	inf	-nan	1.440000	-2.590977	-nan
36.000000	inf	-nan	1.440000	-2.590977	-nan
37.000000	inf	-nan	1.440000	-2.590977	-nan
38.000000	inf	-nan	1.440000	-2.590977	-nan
39.000000	inf	-nan	1.440000	-2.590977	-nan
40.000000	inf	-nan	1.440000	-2.590977	-nan
41.000000	inf	-nan	1.440000	-2.590977	-nan
42.000000	inf	-nan	1.440000	-2.590977	-nan
