(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.00207301,-0.171416)	 	(0.00207301,0.171416)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.32037,0.0819537)	 	(-0.32037,-0.0819537)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.20137,0.117347)	 	(0.20137,-0.117347)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0969712,-0.357175)	 	(0.0969712,0.357175)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.283228,0.280549)	 	(0.283228,-0.280549)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.204864,-0.341991)	 	(0.204864,0.341991)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.182465,0.322001)	 	(0.182465,-0.322001)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(0.268464,-0.264554)	 	(0.268464,0.264554)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.157538,-2.60479e-15)	 	(-0.157538,2.60479e-15)
(-2.52517e-17,1.55389e-17)	 	(-2.52517e-17,-1.55389e-17)
(1.13772e-17,2.10252e-17)	 	(1.13772e-17,-2.10252e-17)
(6.98643e-18,-3.23294e-17)	 	(6.98643e-18,3.23294e-17)
(0.0961451,0.357788)	 	(0.0961451,-0.357788)
(4.34122e-17,3.5135e-17)	 	(4.34122e-17,-3.5135e-17)
(-1.27266e-16,-3.80306e-18)	 	(-1.27266e-16,3.80306e-18)
(-4.88602e-17,-1.50286e-17)	 	(-4.88602e-17,1.50286e-17)
(0.318424,-0.175385)	 	(0.318424,0.175385)
(1.45933e-16,6.27342e-18)	 	(1.45933e-16,-6.27342e-18)
(4.98259e-17,8.35495e-19)	 	(4.98259e-17,-8.35495e-19)
(3.08056e-18,4.73467e-18)	 	(3.08056e-18,-4.73467e-18)
(-0.351954,-0.0910034)	 	(-0.351954,0.0910034)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.00448008,0.370455)	 	(-0.00448008,-0.370455)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
